year	n
2025	39
2022	37
2023	33
2024	31
2020	31
2021	28
2018	28
2019	28
2017	22
2016	21
2015	21
2014	14
2026	13
2013	12
2011	9
2012	7
2007	6
2010	3
2009	3
2006	1
2005	1
1999	1
