delivery_model	completion_reported	none	referral_only
chw_door_to_door	2	6	3
clinic_pickup_return_clinic	6	17	74
home_mail	1	1	1
mail_to_home_return_mail	9	28	26
mixed_or_multiarm	0	3	0
outreach_event_distribution	7	36	43
unk	17	48	61
