reason_code	n
NOT_UNDERSCREENED_FOCUS	500
NOT_CERVICAL_SCREENING	487
SECONDARY_REVIEW	112
PROTOCOL_NO_OUTCOMES	50
NOT_VAGINAL_SELF_SAMPLING	25
INSUFFICIENT_ABSTRACT_INFO	12
