followup_reporting_level	chw_door_to_door	clinic_pickup_return_clinic	home_mail	mail_to_home_return_mail	mixed_or_multiarm	outreach_event_distribution	unk
completion_reported	2	6	1	9	0	7	17
none	6	17	1	28	3	36	48
referral_only	3	74	1	26	0	43	61
