followup_reporting_level	chw_door_to_door	clinic_pickup_return_clinic	home_mail	mail_to_home_return_mail	mixed_or_multiarm	outreach_event_distribution	unk
completion_reported	2	6	1	9	0	7	17
none	10	68	1	48	5	53	94
referral_only	3	71	1	28	0	43	63
