target_population	chw_door_to_door	clinic_pickup_return_clinic	home_mail	mail_to_home_return_mail	mixed_or_multiarm	outreach_event_distribution	unk
migrant_minority	4	8	0	4	0	7	21
never_screened	0	9	0	7	0	5	6
nonattenders	0	13	2	18	1	3	28
other	7	81	1	20	0	63	87
rural_low_access	2	4	0	0	1	10	6
underscreened_general	2	30	0	36	3	15	26
