year	n
2025	67
2024	54
2022	48
2023	45
2020	41
2021	39
2018	35
2019	33
2017	29
2015	27
2016	27
2026	19
2014	17
2013	14
2011	11
2012	7
2007	6
2009	3
2010	3
2005	2
2008	1
2006	1
1999	1
