delivery_model	n_records	reach_denominator_reported	uptake_n_reported	uptake_pct_reported	assay_type_reported	triage_pathway_reported	followup_support_reported	followup_referral_mentioned	followup_completion_reported	followup_completion_pct_reported
chw_door_to_door	15	0.06666666666666667	0.26666666666666666	0.06666666666666667	0.26666666666666666	0.7333333333333333	0.4	0.3333333333333333	0.13333333333333333	0.13333333333333333
clinic_pickup_return_clinic	145	0.15172413793103448	0.18620689655172415	0.21379310344827587	0.4827586206896552	0.8	0.06206896551724138	0.5310344827586206	0.041379310344827586	0.041379310344827586
home_mail	3	0.3333333333333333	0.6666666666666666	1.0	0.6666666666666666	0.6666666666666666	0.0	0.6666666666666666	0.3333333333333333	0.3333333333333333
mail_to_home_return_mail	85	0.32941176470588235	0.27058823529411763	0.3176470588235294	0.23529411764705882	0.8823529411764706	0.3764705882352941	0.43529411764705883	0.10588235294117647	0.10588235294117647
mixed_or_multiarm	5	0.6	0.6	1.0	1.0	0.0	0.4	0.0	0.0	0.0
outreach_event_distribution	103	0.1553398058252427	0.18446601941747573	0.18446601941747573	0.4174757281553398	0.7378640776699029	0.13592233009708737	0.4854368932038835	0.06796116504854369	0.05825242718446602
unk	174	0.1781609195402299	0.25862068965517243	0.1781609195402299	0.3448275862068966	0.8218390804597702	0.13793103448275862	0.45977011494252873	0.09770114942528736	0.09770114942528736
