delivery_model	n_records	reach_denominator_reported	uptake_n_reported	uptake_pct_reported	assay_type_reported	triage_pathway_reported	followup_support_reported	followup_referral_mentioned	followup_completion_reported	followup_completion_pct_reported
chw_door_to_door	11	0.09090909090909091	0.2727272727272727	0.09090909090909091	0.2727272727272727	0.8181818181818182	0.45454545454545453	0.45454545454545453	0.18181818181818182	0.18181818181818182
clinic_pickup_return_clinic	97	0.10309278350515463	0.15463917525773196	0.18556701030927836	0.422680412371134	0.8969072164948454	0.09278350515463918	0.8247422680412371	0.061855670103092786	0.061855670103092786
home_mail	3	0.3333333333333333	0.6666666666666666	1.0	0.6666666666666666	0.6666666666666666	0.0	0.6666666666666666	0.3333333333333333	0.3333333333333333
mail_to_home_return_mail	63	0.3968253968253968	0.31746031746031744	0.3968253968253968	0.30158730158730157	0.9047619047619048	0.4126984126984127	0.5555555555555556	0.14285714285714285	0.14285714285714285
mixed_or_multiarm	3	1.0	1.0	1.0	1.0	0.0	0.3333333333333333	0.0	0.0	0.0
outreach_event_distribution	86	0.18604651162790697	0.22093023255813954	0.22093023255813954	0.43023255813953487	0.7325581395348837	0.12790697674418605	0.5813953488372093	0.08139534883720931	0.06976744186046512
unk	126	0.23015873015873015	0.3253968253968254	0.23809523809523808	0.40476190476190477	0.873015873015873	0.18253968253968253	0.6190476190476191	0.1349206349206349	0.1349206349206349
