reason_code	n
NOT_UNDERSCREENED_FOCUS	638
NOT_CERVICAL_SCREENING	613
SECONDARY_REVIEW	105
PROTOCOL_NO_OUTCOMES	93
NOT_VAGINAL_SELF_SAMPLING	21
INSUFFICIENT_ABSTRACT_INFO	11
