delivery_model	completion_reported	none	referral_only
chw_door_to_door	2	10	3
clinic_pickup_return_clinic	6	68	71
home_mail	1	1	1
mail_to_home_return_mail	9	48	28
mixed_or_multiarm	0	5	0
outreach_event_distribution	7	53	43
unk	17	94	63
