record_id	pmid	doi	year	title_short	country_or_region	income_level	target_population	target_population_notes	setting	delivery_model	return_channel	followup_support	self_sampling_confirmed	assay_type	triage_pathway	design	n_invited	n_participated	uptake_pct	followup_closure_reported	followup_reporting_level	followup_completion_pct	followup_notes	equity_stratified_results_reported	acceptability_reported	cost_reported	key_barriers_facilitators	limitations
PMID_39665400	39665400	10.1177/00333549241299272	2026	Self-Collection for HPV-Based Cervical Screening: Knowledge and Attitudes of Australian Health Care Workers in an Area W	Australia	HIC	never_screened		primary_care	unk	in_person	unk	Y	UNK	unk	observational				N	none			N	Y	N		Curation note: 综述/评价类，无实施。.
PMID_39846135	39846135	10.1177/15248399241309897	2026	Focus Groups With Guatemalan Community Leaders About Barriers to Cervical Cancer Prevention and Control.	UNK	UNK	other	Indigenous/minority focus	community_outreach	outreach_event_distribution	mixed	unk	Y	UNK	cytology	other				N	none			N	N	N		Auto-charted from abstract-level info; verify/complete when OA full text is available.
PMID_40567147	40567147	10.1177/09691413251352999	2026	Ripple effect of temporary self-sampling HPV test on screening uptake in the next round: A secondary analysis of the ACCESS randomized controlled trial.	Japan	HIC	nonattenders	Women not participating in the screening programme for 3 or more years.	organized_screening	mail_to_home_return_mail	mail	reminders	Y	DNA	cytology	secondary_RCT_analysis	15107			N	none			N	N	N		Added during final eligibility reconciliation; charted from PubMed abstract-level information.
PMID_41065509	41065509	10.1002/ijc.70184	2026	Under which realistic circumstances is hrHPV self-sampling increasing cervical screening effectiveness in a partly vacci	Netherlands	HIC	nonattenders		primary_care	mail_to_home_return_mail	in_person	unk	Y	UNK	cytology	model		100.0	0.0	N	none		Modeling study using assumptions about loss to follow-up; no observed follow-up completion.	N	N	Y		Curation note: 在线申请+邮寄，判定为 Mail。.
PMID_41118505	41118505	10.1097/olq.0000000000002256	2026	Underscreened Women's Reactions to At-Home Self-Collected Human Papillomavirus Test Result Delivery.	UNK	UNK	underscreened_general		home_mail	outreach_event_distribution	mail	unk	Y	UNK	cytology	observational		93.0		Y	referral_only			N	Y	N		Curation note: 明确的家访外展。.
PMID_41380156	41380156	10.1097/aog.0000000000006147	2026	Preferences Among U.S. Women for Cervical Cancer Screening with Self-Collected Specimens for Human Papillomavirus Testin	United States	HIC	never_screened		primary_care	unk	in_person	unk	Y	UNK	cytology	observational				Y	referral_only			N	Y	N		Curation note: 仅为偏好调查，未实际实施。.
PMID_41459933	41459933	10.1128/jcm.01318-25	2026	Performance of a novel, urine-based test for the detection of cervical human papillomavirus infection.	UNK	UNK	underscreened_general		primary_care	outreach_event_distribution	in_person	unk	Y	DNA	cytology	other				N	none			N	N	Y		Curation note: 超越诊所的模式，倾向 Outreach。.
PMID_41495727	41495727	10.1186/s12905-025-04226-9	2026	Is there a difference in sample adequacy when vaginal HPV DNA samples are self-collected at home, a health post, or a pr	UNK	UNK	other		home_mail	outreach_event_distribution	unk	unk	Y	DNA	unk	other				Y	referral_only			N	N	N		Curation note: Home-based 采样属于 Outreach。.
PMID_41505134	41505134	10.1001/jamanetworkopen.2025.51345	2026	Streamlined Self-Collection Screening for Sexually Transmitted Infections and Human Papillomavirus: A Single-Group Secon	UNK	UNK	underscreened_general		home_mail	mail_to_home_return_mail	mail	unk	Y	UNK	cytology	individual_RCT	327.0			N	none		Follow-up care referred to STI-positive participants, not cervical/HPV-positive follow-up completion.	N	Y	N		Curation note: 明确标记为 mailed。.
PMID_41545215	41545215	10.1136/bmjgh-2025-021707	2026	Comparative efficacy, feasibility and acceptability of HPV DNA testing on first-void urine versus self-collected vaginal	UNK	UNK	other		community_outreach	clinic_pickup_return_clinic	mixed	unk	Y	DNA	direct_colposcopy	observational				Y	referral_only			N	Y	N		Curation note: 实施地点为诊所，属于 Clinic。.
