pmid	doi	pmcid	title	journal	year	first_author	url
22619675	10.1155/2012/728397	PMC3349262	Burden of Human Papillomavirus among Haitian Immigrants in Miami, Florida: Community-Based Participatory Research in Action.	Journal of oncology	2012	Erin Kobetz	https://pubmed.ncbi.nlm.nih.gov/22619675/
22562132	10.1007/s00428-012-1242-y		Performance characteristics of Pap test, VIA, VILI, HR-HPV testing, cervicography, and colposcopy in diagnosis of significant cervical pathology.	Virchows Archiv : an international journal of pathology	2012	Adhemar Longatto-Filho	https://pubmed.ncbi.nlm.nih.gov/22562132/
22445557	10.1016/j.jcv.2012.02.022		Brush-based self-sampling in combination with GP5+/6+-PCR-based hrHPV testing: high concordance with physician-taken cervical scrapes for HPV genotyping and detection of high-grade CIN.	Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology	2012	Maaike G Dijkstra	https://pubmed.ncbi.nlm.nih.gov/22445557/
22438506	10.1258/jms.2012.012011		Dry self-sampling versus provider-sampling of cervicovaginal specimens for human papillomavirus detection in the Inuit population of Nunavik, Quebec.	Journal of medical screening	2012	Helen Cerigo	https://pubmed.ncbi.nlm.nih.gov/22438506/
22276847	10.1111/j.1479-828x.2011.01402.x		Adjunctive testing for cervical cancer screening in low resource settings.	The Australian & New Zealand journal of obstetrics & gynaecology	2012	Neerja Bhatla	https://pubmed.ncbi.nlm.nih.gov/22276847/
22271765	10.1093/jnci/djr532	PMC3274511	Pooled analysis of a self-sampling HPV DNA Test as a cervical cancer primary screening method.	Journal of the National Cancer Institute	2012	Fang-Hui Zhao	https://pubmed.ncbi.nlm.nih.gov/22271765/
22267344			Perceptions of HPV and cervical cancer among Haitian immigrant women: implications for vaccine acceptability.	Education for health (Abingdon, England)	2011	E Kobetz	https://pubmed.ncbi.nlm.nih.gov/22267344/
22253702	10.1371/journal.pone.0029051	PMC3258246	Clinical and pathological heterogeneity of cervical intraepithelial neoplasia grade 3.	PloS one	2012	Hannah P Yang	https://pubmed.ncbi.nlm.nih.gov/22253702/
22219162	10.1158/1940-6207.capr-11-0542	PMC3285475	Reducing HPV-associated cancer globally.	Cancer prevention research (Philadelphia, Pa.)	2012	Douglas R Lowy	https://pubmed.ncbi.nlm.nih.gov/22219162/
22204834	10.1016/j.canep.2011.11.005		Will vaccinated women attend cervical screening? A population based survey of human papillomavirus vaccination and cervical screening among young women in Victoria, Australia.	Cancer epidemiology	2012	Julia M L Brotherton	https://pubmed.ncbi.nlm.nih.gov/22204834/
22201656	10.1188/12.onf.61-68		Increasing mammography and cervical cancer knowledge and screening behaviors with an educational program.	Oncology nursing forum	2012	Theresa A Kessler	https://pubmed.ncbi.nlm.nih.gov/22201656/
22185546	10.3109/01443615.2011.625456		Acceptability of self-collected human papillomavirus specimens as a primary screen for cervical cancer.	Journal of obstetrics and gynaecology : the journal of the Institute of Obstetrics and Gynaecology	2012	B L Quincy	https://pubmed.ncbi.nlm.nih.gov/22185546/
22172570	10.1016/j.ejca.2011.11.022		Offering self-sampling for human papillomavirus testing to non-attendees of the cervical screening programme: Characteristics of the responders.	European journal of cancer (Oxford, England : 1990)	2012	Murat Gök	https://pubmed.ncbi.nlm.nih.gov/22172570/
22154228	10.1016/j.bpobgyn.2011.11.003		Human papillomavirus deoxyribonucleic acid testing in developed countries.	Best practice & research. Clinical obstetrics & gynaecology	2012	Neerja Bhatla	https://pubmed.ncbi.nlm.nih.gov/22154228/
22095378	10.1309/ajcpjdaoruy4eyr6		A new PCR-based mass spectrometry system for high-risk HPV, part II: clinical trial.	American journal of clinical pathology	2011	Hui Du	https://pubmed.ncbi.nlm.nih.gov/22095378/
