pmid	doi	pmcid	title	journal	year	first_author	url
41787233	10.1007/s10900-026-01554-1	9131755	Acceptability and Feasibility of Home-Based Human Papillomavirus Self-Testing as Primary Screening for Cervical Cancer Detection in the State of Alabama.	Journal of community health	2026	Van Thi Ha Nghiem	https://pubmed.ncbi.nlm.nih.gov/41787233/
41744859	10.3390/curroncol33020095	PMC12939021	Transitioning from Cytology to HPV Test-Based Primary Cervical Screening in Canada: A Population-Based Survey of Women's Screening and Information Preferences.	Current oncology (Toronto, Ont.)	2026	Ovidiu Tatar	https://pubmed.ncbi.nlm.nih.gov/41744859/
41665700	10.1007/s10552-026-02128-1	PMC12891099	How would Australian women and people with a cervix like to access self-collection for cervical screening? Screening preferences from a national survey.	Cancer causes & control : CCC	2026	Claire Bavor	https://pubmed.ncbi.nlm.nih.gov/41665700/
41611360	10.1016/s2468-2667(25)00304-4		Uptake and performance of self-collection offered through primary care to all eligible participants in a national cervical screening programme in Australia: a retrospective cohort study.	The Lancet. Public health	2026	Farhana Sultana	https://pubmed.ncbi.nlm.nih.gov/41611360/
41561556	10.1136/bmjph-2025-003254	PMC12815087	Understanding knowledge, beliefs, values and barriers towards cervical cancer screening and self-sampling amongst migrant Muslim women in Southwest London: an in-depth qualitative interview study.	BMJ public health	2026	Sophie Webb	https://pubmed.ncbi.nlm.nih.gov/41561556/
41556025	10.7759/cureus.99604	PMC12812232	Interventions in Primary Care to Improve Cervical Cancer Screening: A Systematic Review.	Cureus	2025	Anas E Ahmed	https://pubmed.ncbi.nlm.nih.gov/41556025/
41546783	10.1007/s10552-025-02108-x	11401415	Leveraging the role of families in decision-making to inform a program of HPV-based self-collection for cervical screening in Tamil Nadu, India: a qualitative study.	Cancer causes & control : CCC	2026	Anu Mary Oommen	https://pubmed.ncbi.nlm.nih.gov/41546783/
41545215	10.1136/bmjgh-2025-021707	PMC12815044	Comparative efficacy, feasibility and acceptability of HPV DNA testing on first-void urine versus self-collected vaginal samples: a real-world study in a resource-limited setting.	BMJ global health	2026	Sreeya Bose	https://pubmed.ncbi.nlm.nih.gov/41545215/
41505134	10.1001/jamanetworkopen.2025.51345	PMC12784235	Streamlined Self-Collection Screening for Sexually Transmitted Infections and Human Papillomavirus: A Single-Group Secondary Analysis of a Randomized Clinical Trial.	JAMA network open	2026	Anisha P Ganguly	https://pubmed.ncbi.nlm.nih.gov/41505134/
41495727	10.1186/s12905-025-04226-9		Is there a difference in sample adequacy when vaginal HPV DNA samples are self-collected at home, a health post, or a primary care health center in rural Ethiopia? Implications for community cervical cancer screening.	BMC women's health	2026	Alexandra Hernandez	https://pubmed.ncbi.nlm.nih.gov/41495727/
41469068	10.1136/bmjopen-2025-101599	PMC12750757	Protocol for a cervical screening implementation trial comparing two approaches for delivering HPV self-collection in low-resource settings in India: a type 3 hybrid cluster randomised controlled trial (SHE-CAN).	BMJ open	2025	Anu Mary Oommen	https://pubmed.ncbi.nlm.nih.gov/41469068/
41467104	10.2147/cmar.s552282	PMC12744586	Improving Patient Education Materials for HPV Self-Collection: Insights from Women at High Risk of Developing Cervical Cancer.	Cancer management and research	2025	Rahma S Mkuu	https://pubmed.ncbi.nlm.nih.gov/41467104/
41466250	10.1186/s12913-025-13768-5	PMC12751595	Readiness to transition to HPV self-collection from VIA screening: a mixed methods health systems assessment from Tamil Nadu, India.	BMC health services research	2025	Anu Mary Oommen	https://pubmed.ncbi.nlm.nih.gov/41466250/
41459991	10.1002/ijc.70321		Cancer detection using human papillomavirus self-sampling targeting long-term non-attenders in an organized cervical screening program.	International journal of cancer	2025	K Miriam Elfström	https://pubmed.ncbi.nlm.nih.gov/41459991/
41459933	10.1128/jcm.01318-25	PMC12893011	Performance of a novel, urine-based test for the detection of cervical human papillomavirus infection.	Journal of clinical microbiology	2026	Sharmila Manjeshwar	https://pubmed.ncbi.nlm.nih.gov/41459933/
41445714	10.1017/cts.2025.10172	PMC12722056	Patient attitudes toward HPV self-sampling and community health worker-delivered cervical cancer screening services in an underserved area.	Journal of clinical and translational science	2025	Mrithula Suresh Babu	https://pubmed.ncbi.nlm.nih.gov/41445714/
41441379	10.3390/nursrep15120449	PMC12736092	Development and Evaluation of Innovation Scales for Mail-Based Human Papillomavirus (HPV) Self-Collection Among U.S. Low-Income Women.	Nursing reports (Pavia, Italy)	2025	Erika Biederman	https://pubmed.ncbi.nlm.nih.gov/41441379/
41412622	10.1136/bmjopen-2025-103915	PMC12716599	Cervical high-risk human papillomavirus infection and its associated risk factors: a community-based cross-sectional study in hard-to-reach areas in Bangladesh.	BMJ open	2025	Naheed Nazrul	https://pubmed.ncbi.nlm.nih.gov/41412622/
41408509	10.1186/s12875-025-03139-8	PMC12837625	Opportunistic offer of human papillomavirus (HPV) self-testing in ethnically diverse primary care clinics in Aotearoa New Zealand: an implementation study.	BMC primary care	2025	Karen Bartholomew	https://pubmed.ncbi.nlm.nih.gov/41408509/
41380156	10.1097/aog.0000000000006147	PMC12797866	Preferences Among U.S. Women for Cervical Cancer Screening with Self-Collected Specimens for Human Papillomavirus Testing.	Obstetrics and gynecology	2026	Jin Qin	https://pubmed.ncbi.nlm.nih.gov/41380156/
41360484	10.1136/bmjgh-2025-019061	PMC12684147	Participation in cervical cancer screening among migrants and non-migrants in primary healthcare in Lisbon: a register-based study.	BMJ global health	2025	Catarina Gomes Madeira	https://pubmed.ncbi.nlm.nih.gov/41360484/
41330534	10.31128/ajgp-03-25-7585		Accuracy of self-collection in human papillomavirus-based cervical screening: An evidence-based review.	Australian journal of general practice	2025	Rebecca Starkie	https://pubmed.ncbi.nlm.nih.gov/41330534/
41321069	10.1111/hex.70485	PMC12665870	Exploring Emotional and Cognitive Perceptions of Cervical Cancer Screening and Self-Sampling Among Vulnerable Romanian Women: A Qualitative Study.	Health expectations : an international journal of public participation in health care and health policy	2025	Nicoleta-Monica Pașca	https://pubmed.ncbi.nlm.nih.gov/41321069/
41305950	10.1111/ajo.70057	PMC12873515	Accuracy of Self-Reported Cervical Screening Status Among Pregnant Women.	The Australian & New Zealand journal of obstetrics & gynaecology	2026	Christine Thuy-Trang Tran	https://pubmed.ncbi.nlm.nih.gov/41305950/
41294656	10.3390/curroncol32110594	PMC12651199	HPV Testing, Self-Collection, and Vaccination: A Comprehensive Approach to Cervical Cancer Prevention.	Current oncology (Toronto, Ont.)	2025	Shannon Salvador	https://pubmed.ncbi.nlm.nih.gov/41294656/
41294653	10.3390/curroncol32110591	PMC12651664	Barriers and Facilitators to Cervical Cancer Screening in Northern Uganda: Qualitative Insights from Healthcare Workers and Administrators.	Current oncology (Toronto, Ont.)	2025	Noemi Maria Felisi	https://pubmed.ncbi.nlm.nih.gov/41294653/
41267012	10.1186/s12913-025-13488-w	PMC12636231	Moroccan and Pakistani women's knowledge and perceptions on cervical cancer screening and HPV self-sampling acceptability in Catalonia, Spain: a mixed-methods study.	BMC health services research	2025	Jone G Lurgain	https://pubmed.ncbi.nlm.nih.gov/41267012/
41259321	10.1177/10732748251378812	PMC12638677	Optimisation of a Cervical Cancer Screening Model Based on Self-Sampling for Human Papillomavirus Testing.	Cancer control : journal of the Moffitt Cancer Center	2025	María Besó Delgado	https://pubmed.ncbi.nlm.nih.gov/41259321/
41236409	10.1002/cncr.70175		Pooled performance of urinary human papillomavirus (HPV) testing for the presence of cervical HPV.	Cancer	2025	Zichen Ye	https://pubmed.ncbi.nlm.nih.gov/41236409/
41214745	10.1186/s13690-025-01749-3	PMC12604249	Cervical cancer screening policies and implementation in Uganda - a qualitative study on policymakers', cervical cancer experts' and gynecologists' perspectives.	Archives of public health = Archives belges de sante publique	2025	Elien De Paepe	https://pubmed.ncbi.nlm.nih.gov/41214745/
41167263	10.5858/arpa.2025-0325-oa		Effectiveness of Human Papillomavirus Self-collection for Cervical Cancer Screening in Community Outreach Programs.	Archives of pathology & laboratory medicine	2025	Zhengchun Lu	https://pubmed.ncbi.nlm.nih.gov/41167263/
41161016	10.1016/j.jcv.2025.105883		Performance of the Alinity m HR HPV assay on self-collected vaginal samples compared to clinician-collected cervical samples.	Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology	2025	Adino Tesfahun Tsegaye	https://pubmed.ncbi.nlm.nih.gov/41161016/
41152983	10.1186/s13643-025-02866-4	PMC12560550	Screening for the prevention and early detection of cervical cancer: systematic reviews to inform an update to recommendations by the Canadian Task Force on Preventive Health Care.	Systematic reviews	2025	Jennifer Pillay	https://pubmed.ncbi.nlm.nih.gov/41152983/
41118505	10.1097/olq.0000000000002256		Underscreened Women's Reactions to At-Home Self-Collected Human Papillomavirus Test Result Delivery.	Sexually transmitted diseases	2026	Cara J Broshkevitch	https://pubmed.ncbi.nlm.nih.gov/41118505/
41103225	10.53738/revmed.2025.21.935.47907		[HPV self-sampling and cervical cancer screening].	Revue medicale suisse	2025	Micol Murtas	https://pubmed.ncbi.nlm.nih.gov/41103225/
41067140	10.1016/j.pec.2025.109374	PMC12871066	Promoting cervical cancer screening via a mailed HPV self-collection kit: Reactions from screeners and non-screeners.	Patient education and counseling	2026	Jasmin A Tiro	https://pubmed.ncbi.nlm.nih.gov/41067140/
41065509	10.1002/ijc.70184	PMC12765978	Under which realistic circumstances is hrHPV self-sampling increasing cervical screening effectiveness in a partly vaccinated population? A modelling study.	International journal of cancer	2026	Sylvia Kaljouw	https://pubmed.ncbi.nlm.nih.gov/41065509/
