source	run_date_utc	query_id	query	retmax	returned_rows	export_file
PubMed	2026-03-09T12:04:08Z	query_a	((human papillomavirus OR HPV) AND (self-sampling OR self sampling OR self-collected OR self collected OR home-based OR mail OR postal)) AND (cervical cancer screening OR cervical screening) AND (underscreened OR "under-screened" OR nonattender* OR "non-attender*" OR "never screened" OR "never-screened" OR "hard to reach" OR outreach OR rural OR migrant)	2000	473	results/search/pubmed_query_a.tsv
PubMed	2026-03-09T12:04:08Z	query_b	((human papillomavirus OR HPV) AND (self-sampling OR self sampling OR self-collected OR home-based OR mail OR postal OR outreach OR community health worker)) AND (cervical screening) AND (uptake OR participation OR acceptability OR feasibility OR implementation OR adherence OR follow-up OR navigation OR reminder OR equity OR cost)	2000	1660	results/search/pubmed_query_b.tsv
