artifact	source	identifier	expected_path	retrieve
PubMed E-utilities export (Query A)	NCBI PubMed (E-utilities)	results/search/pubmed_query_a.tsv	results/search/pubmed_query_a.tsv	Re-run: `bash scripts/run_pubmed_exports.sh` (writes the same paths; see `results/search/search_log.tsv` for timestamps)
PubMed E-utilities export (Query B)	NCBI PubMed (E-utilities)	results/search/pubmed_query_b.tsv	results/search/pubmed_query_b.tsv	Re-run: `bash scripts/run_pubmed_exports.sh` (writes the same paths; see `results/search/search_log.tsv` for timestamps)
Deduplication log	Derived from PubMed exports	results/search/processed_pmids.txt	results/search/processed_pmids.txt	Generated by `bash scripts/run_pubmed_exports.sh`
Charted study index (Dataset S1)	Derived (charting)	Dataset_S1_Charted_study_index.tsv	supplement/Dataset_S1_Charted_study_index.tsv	Included in this repository
Exclusion log (Dataset S2)	Derived (screening)	Dataset_S2_Exclusion_log.tsv	supplement/Dataset_S2_Exclusion_log.tsv	Included in this repository
Figures (final PDFs)	Derived (plots)	plots/publication/*.pdf	plots/publication/	Re-run: `bash scripts/reproduce_one_click.sh` (from frozen outputs) or re-run full pipeline (see README)
